model,quant,n_layers,layer,layer_pct,top_token,logit_paris,logit_berlin
Qwen/Qwen2.5-1.5B-Instruct,none,28,1,3.6, Berlin,13.125,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,3,10.7, Berlin,13.125,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,5,17.9, Berlin,13.3125,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,7,25.0, Berlin,13.25,20.125
Qwen/Qwen2.5-1.5B-Instruct,none,28,9,32.1, Berlin,13.625,20.375
Qwen/Qwen2.5-1.5B-Instruct,none,28,11,39.3, Berlin,13.625,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,13,46.4, Berlin,13.75,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,15,53.6, Berlin,13.875,20.25
Qwen/Qwen2.5-1.5B-Instruct,none,28,17,60.7, Berlin,14.1875,20.125
Qwen/Qwen2.5-1.5B-Instruct,none,28,19,67.9, Berlin,14.25,20.125
Qwen/Qwen2.5-1.5B-Instruct,none,28,21,75.0, Berlin,14.8125,20.125
Qwen/Qwen2.5-1.5B-Instruct,none,28,23,82.1, Paris,20.0,12.625
Qwen/Qwen2.5-1.5B-Instruct,none,28,25,89.3, Paris,20.0,12.1875
Qwen/Qwen2.5-1.5B-Instruct,none,28,27,96.4, Paris,19.75,12.75
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,1,1.6, Berlin,11.0625,17.625
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,6,9.4, Berlin,11.0625,17.625
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,11,17.2, Berlin,11.125,17.375
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,16,25.0, Berlin,11.1875,17.25
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,21,32.8, Berlin,11.125,17.25
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,26,40.6, Berlin,11.25,17.125
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,31,48.4, Berlin,12.25,16.75
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,36,56.2, Berlin,12.625,16.875
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,41,64.1, Berlin,13.3125,16.5
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,46,71.9, Berlin,13.75,16.875
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,51,79.7, Paris,16.375,15.375
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,56,87.5, Paris,16.25,14.5625
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,61,95.3, Paris,16.375,14.625
