model,quant,n_layers,layer,layer_pct,auroc
Qwen/Qwen2.5-1.5B-Instruct,none,28,3,10.7,0.55078125
Qwen/Qwen2.5-1.5B-Instruct,none,28,6,21.4,0.72265625
Qwen/Qwen2.5-1.5B-Instruct,none,28,9,32.1,0.875
Qwen/Qwen2.5-1.5B-Instruct,none,28,12,42.9,0.96484375
Qwen/Qwen2.5-1.5B-Instruct,none,28,15,53.6,0.96484375
Qwen/Qwen2.5-1.5B-Instruct,none,28,18,64.3,0.95703125
Qwen/Qwen2.5-1.5B-Instruct,none,28,21,75.0,0.9453125
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,8,12.5,0.41796875
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,16,25.0,0.87890625
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,24,37.5,0.98828125
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,32,50.0,1.0
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,40,62.5,1.0
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,48,75.0,1.0
unsloth/Qwen2.5-32B-Instruct-bnb-4bit,prequantized,64,56,87.5,1.0
