model,layer,gated,coeff,plain_correct,plain_total,distractor_correct,distractor_total,confused,gate_fire_rate
Qwen/Qwen2.5-1.5B-Instruct,18,false,0.0,36,37,31,37,4,
Qwen/Qwen2.5-1.5B-Instruct,18,false,0.25,36,37,32,37,3,
Qwen/Qwen2.5-1.5B-Instruct,18,false,0.5,36,37,32,37,3,
Qwen/Qwen2.5-1.5B-Instruct,18,false,0.75,36,37,34,37,2,
Qwen/Qwen2.5-1.5B-Instruct,18,false,1.0,36,37,35,37,1,
Qwen/Qwen2.5-1.5B-Instruct,18,false,1.5,35,37,34,37,1,
Qwen/Qwen2.5-1.5B-Instruct,18,false,2.0,32,37,30,37,1,
Qwen/Qwen2.5-1.5B-Instruct,18,false,3.0,20,37,20,37,1,
Qwen/Qwen2.5-1.5B-Instruct,18,true,0.0,36,37,31,37,4,0.0
Qwen/Qwen2.5-1.5B-Instruct,18,true,0.5,36,37,31,37,4,7.8
Qwen/Qwen2.5-1.5B-Instruct,18,true,1.0,36,37,31,37,4,8.1
Qwen/Qwen2.5-1.5B-Instruct,18,true,1.5,36,37,31,37,3,7.1
Qwen/Qwen2.5-1.5B-Instruct,18,true,2.0,36,37,32,37,2,7.5
Qwen/Qwen2.5-1.5B-Instruct,18,true,3.0,36,37,33,37,1,6.1
Qwen/Qwen2.5-1.5B-Instruct,18,true,4.0,36,37,33,37,0,4.8
